Country,LAD code,LAD name,Rural Urban Classification (Note 1),Count (Note 3),"Libraries per 100,000 people"
Wales,W06000004,Denbighshire,Wales,8,8.234180082
England,E07000137,East Lindsey,Mainly Rural,12,8.254741317
England,E07000200,Babergh,Mainly Rural,8,8.344459279
England,E07000033,Bolsover,Urban with Significant Rural,7,8.451146338
Wales,W06000024,Merthyr Tydfil,Wales,5,8.533442561
England,E06000063,Cumberland,Largely Rural,24,8.668140251
England,E06000014,York,Urban with City and Town,18,8.704903762
England,E07000037,High Peak,Largely Rural,8,8.736581157
England,E07000079,Cotswold,Mainly Rural,8,8.744125041
Wales,W06000019,Blaenau Gwent,Wales,6,8.907892393
England,E06000040,Windsor and Maidenhead,Urban with City and Town,14,9.018352347
England,E07000111,Sevenoaks,Largely Rural,11,9.071267174
England,E07000142,West Lindsey,Mainly Rural,9,9.19493257
England,E07000181,West Oxfordshire,Mainly Rural,11,9.218057336
England,E07000109,Gravesham,Urban with Major Conurbation,10,9.281862313
England,E06000003,Redcar and Cleveland,Urban with Significant Rural,13,9.424524062
England,E07000012,South Cambridgeshire,Largely Rural,16,9.493239034
Wales,W06000009,Pembrokeshire,Wales,12,9.599539222
Wales,W06000003,Conwy,Wales,11,9.614544183
Wales,W06000010,Carmarthenshire,Wales,19,9.995633486
England,E06000064,Westmorland and Furness,Largely Rural,23,10.07945238
Wales,W06000018,Caerphilly,Wales,18,10.20194177
England,E06000057,Northumberland,Largely Rural,34,10.39580499
England,E07000218,North Warwickshire,Mainly Rural,7,10.57945168
England,E07000175,Newark and Sherwood,Largely Rural,14,11.09631602
England,E07000129,Blaby,Urban with City and Town,12,11.39839283
Wales,W06000012,Neath Port Talbot,Wales,17,11.89659757
England,E06000017,Rutland,Mainly Rural,5,12.30224147
Wales,W06000023,Powys,Wales,18,13.38897195
Wales,W06000002,Gwynedd,Wales,16,13.42585988
Wales,W06000001,Isle of Anglesey,Wales,10,14.4318887
